JO_REQST_NO,JO_REGIST_NO,CMPNY_NM,BSNS_SUMRY_CN,RCRIT_JSSFC_CMMN_CODE_SE,JOBCODE_NM,RCRIT_NMPR_CO,ACDMCR_CMMN_CODE_SE,ACDMCR_NM,EMPLYM_STLE_CMMN_CODE_SE,EMPLYM_STLE_CMMN_MM,WORK_PARAR_BASS_ADRES_CN,SUBWAY_NM,DTY_CN,CAREER_CND_CMMN_CODE_SE,CAREER_CND_NM,HOPE_WAGE,RET_GRANTS_NM,WORK_TIME_NM,WORK_TM_NM,HOLIDAY_NM,WEEK_WORK_HR,JO_FEINSR_SBSCRB_NM,RCEPT_CLOS_NM,RCEPT_MTH_IEM_NM,MODEL_MTH_NM,RCEPT_MTH_NM,PRECENTN_PAPERS_NM,MNGR_NM,MNGR_PHON_NO,MNGR_INSTT_NM,BASS_ADRES_CN,JO_SJ,JO_REG_DT,GUI_LN,latitude,longitude
J324202401290012,DdA3242401292069,성심복지센터,"노인요양, 방문",550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 송파구,,"3등급할머니케어(잠실동) 위생관리 및 말벗 일상생활지원
근무시간:09:00~12:00(주5일) 시급:12,600원",J01300,무관,시급 / 12600원 ,퇴직금,09:00~12:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,서류  면접   ,방문 팩스 기타 ,,선경덕,02-2147-3681,송파구,"서울특별시 송파구 올림픽로 212  (잠실동) (갤러리아팰리스,B1F29호",[잠실동/3등급(할머니)/09:00~12:00] 재가요양보호사 모집,2024-01-29,(시급)12600원 / 서울 송파구 / 경력 무관,37.511379,127.093029
J320202401290008,DdA3202401292279,선한이웃노인복지센터,방문 요양,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),인천 옹진군,,"인천 옹진군 영흥도) 4등급할아버지 재가요양보호사

- 일상가사지원, 신체활동지원등
- 주5일 09:00-12:00 시간 협의가능
- 시급: 12,500원
- 문의: 010-5009-7667",J01300,무관,시급 / 12500원 ,퇴직연금,09:00-12:00(시간 협의가능),주간,주5일근무,15,고용보험 산재보험 건강보험 국민연금,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,박명숙,02-820-9376,동작구,서울특별시 관악구 양녕로 28  (봉천동) (중앙동),인천 옹진군 영흥도) 4등급할아버지 요양보호사 구인,2024-01-29,(시급)12500원 / 인천 옹진군 / 경력 무관,,
J302202401290005,DdA3022401292043,복지플러스 재가노인복지센터,재가방문요양,550104,재가 요양보호사,1,J00100,관계없음,J01101,상용직,서울 중구,회현,"3등급 여자어르신 케어(86세, 배우자와 거주)
-얌전한 치매, 거동 가능
-음식 드실 수 있게 도와드려야 함. 청소업무 없음
-09:30~12:30(시간조율 가능, 오후도 가능)",J01300,무관,시급 / 12500원 ,퇴직금,09:30~12:30,주간,주6일근무,18,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,변혜수,02-3396-5694,중구,서울특별시 중구 중림로4길 20  (중림동) B101,(3등급/회현동/시간조율가능) 재가요양보호사 모집,2024-01-29,(시급)12500원 / 서울 중구 / 경력 무관,37.560365,126.991236
J307202401290011,DdA3072401292084,화평재가방문요양센터,방문요양 방문목욕,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 중랑구중랑역인근,,"- 4등급 여어르신, 거동가능
- 신체활동지원, 정서지원, 가사 및 일상생활지원
- 09:00~12:00(08:30-11:30 가능) / 주5일, 토요격주
- 시급 12,500원
- 중화동 중랑역 인근
- 유선 통화 후 방문 면접(문의: 010-2993-9297)",J01300,무관,시급 / 12500원 ,퇴직연금,09:00~12:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문 기타  ,,구현옥,02-2094-2245,중랑구,서울특별시 중랑구 용마산로81길 8  (면목동) 1층,"[중랑역인근, 4등급, 오전] 재가 요양보호사 구인공고",2024-01-29,(시급)12500원 / 서울 중랑구 / 경력 무관,,
J001202401290030,DdA0402401292070,서울특별시시각장애인연합회,장애인 활동지원,232903,장애인 생활지도원(장애인활동보조원 포함),1,J00100,관계없음,J01103,계약직(시간제),경기 성남시 수정구101,,"성남시 수정구/ 70대초 남자시각장애인/ 
- 월140시간/ 주5일 월~금,  일6~7시간, 시간 협의/ 인터넷, 컴퓨터활용(디자인) 잘하시는 분,  스마트폰 검색 , / 운전, 차량필수(유류비별도)",J01300,무관,시급 / 12500원 ,퇴직금,시간대 협의,주간,주5일근무,33,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),전화상담,기타   ,기타   ,,허영철,02-731-9535,서울일자리센터 취업상담팀,서울특별시 서초구 동광로12길 106  (방배동) 1층,성남시 수정구/ 70대초 남자 시각장애인 장애인활동지원사 모집,2024-01-29,(시급)12500원 / 경기 성남시 수정구 / 경력 무관,,
J323202401290012,DdA3232401292242,현대개발,공동주택 위탁관리사업,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,J00100,관계없음,J01102,계약직,서울 송파구,,"- 개포현대 한개동(72세대) 아파트.
: 아파트 미화원 모집. 신주는 1-2층만 관리. 
- 주5일 09-14:00(휴게시간 12-13시30)
- 월급 1,291,660원( 연차수당 별도)
-&gt;관리소장 010-9758-1209",J01300,무관,월급 / 129만원 ,퇴직금,09월 14일,주간,주5일근무,20,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,정성자,02-3423-5588,강남구,서울특별시 성동구 동일로 263  (송정동) 송정건영아파트 관리사무소,개포동 현대아파트/ 미화원 모집,2024-01-29,(월급)129만원 / 서울 강남구 / 경력 무관,37.490028,127.127982
J324202401290011,DdA3242401292060,아즈넷,IT,531203,유치원·어린이집 급식 조리사,1,J00100,관계없음,J01101,상용직,서울 송파구,,"마천동 유치원 전반적인 급식조리업무  , 원아300명
근무시간:09;00~17:00(주5일)  , 경력자우대 , 조리사자격증무관
(조리사 2분이근무하시고 설거지하시는 따로 있음)
급여:240만원(면접시 협의)",J01300,무관,월급 / 240만원 ,퇴직금,09:00~17:00,주간,주5일근무,40,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,서류  면접   ,팩스 기타  ,,선경덕,02-2147-3681,송파구,서울특별시 송파구 성내천로47길 38 -1 (마천동) 마천동,[마천동] 유치원 급식조리사 모집,2024-01-29,(월급)240만원 / 서울 송파구 / 경력 무관,37.499355,127.096288
J305202401290011,DdA3052401292105,(주)우성에이치알,근로자 파견 및 도급 외,26301,총무 및 일반 사무원,1,J00100,관계없음,J01102,계약직,강원특별자치도 삼척시감리 사무실,,"* 감리사무실 문서작성, 서류관리, 전화응대 등 사무보조 업무
* 월급: 2,070,000원",J01300,무관,월급 / 207만원 ,퇴직금,09:00~18:00,주간,주5일근무,40,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,서류  면접   ,전자우편   ,,이선미,02-450-1419,광진구,서울특별시 광진구 아차산로 345  (자양동) 3층 301호,[삼척시 남양동] 감리사무실 사무원 모집,2024-01-29,(월급)207만원 / 강원특별자치도 삼척시 / 경력 무관,,
J302202401290004,DdA3022401292033,주식회사 에스엠,학교 시설물 유지및 관리업무//휴게음식업,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,J00100,관계없음,J01102,계약직,서울 성동구성수고등학교,뚝섬,"* 고등학교 실내 미화업무/학교청소등의 업무
* 07-15시근무이며, 중간 휴게시간 일2.5시간임.
* 월급여 1,419,840원임.",J01300,무관,월급 / 141만원 ,퇴직금,07월 15일,주간,주5일근무,27,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,서류  면접   ,방문 팩스 전자우편 ,,김영주,02-3396-5696,중구,경상남도 진주시 진주대로 897  (강남동) 대경빌딩 12층 (강남동),성수고등학교 미화원 모집,2024-01-29,(월급)141만원 / 서울 성동구 / 경력 무관,,
J304202401290004,DdA3042401292075,강남소망재가노인복지센터,"어르신 케어를 위해 요양보호사 파견, 관리, 알선 등",550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 강남구..,,"4등급 할아버지 (독거)
-편마비가 있어 식사준비와 세탁, 청소등 일상생활 지원

근무시간 오전/오후 협의가능

시급 12,500원",J01300,무관,시급 / 12500원 ,퇴직금,직무내용 참고,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문 팩스  ,,현희경,02-2286-5408,성동구,서울특별시 강남구 양재대로33길 25  (일원동) 3층,[역삼동/4등급/할아버지/오전오후 협의]재가 요양보호사 모집,2024-01-29,(시급)12500원 / 서울 강남구 / 경력 무관,,
J311202401290005,DdA3112401292037,동대문구 방문요양센터,요양보호사,550104,재가 요양보호사,1,J00100,관계없음,J01101,상용직,서울 노원구학여울 아파트,,"입주요양보호사
85세 1등급 할머님/ 배줄, 콧줄 사용/",J01301,신입,월급 / 330만원 ,퇴직금,09:00~09:00,주간,기타(입주케어),52,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,이현주,070-7700-8375,노원구,서울특별시 동대문구 답십리로68길 97  (장안동) 1층(장안동),1등급 여자어르신 입주 요양보호사 구인[노원 하계],2024-01-29,(월급)330만원 / 서울 노원구 / 경력 무관,,
J310202401290012,DdA3102401292111,수 노인복지센터,방문요양. 방문목욕. 방문돌봄.,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 동대문구-,,"4등급 여자어르신 방문 케어
- 이문동 삼성래미안2차아파트 거주
- 말벗, 가사 등 일상생활 지원",J01300,무관,시급 / 12500원 ,퇴직금,09:00-12:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,서류  면접   ,방문   ,,정진영,02-2091-2923,도봉구,서울특별시 동대문구 망우로 133  (휘경동) 진영빌딩 303호,재가요양보호사 채용(이문동),2024-01-29,(시급)12500원 / 서울 동대문구 / 경력 무관,,
J314202401290007,DdA3142401292060,하늘꿈실버 재가요양센터,방문 요양서비스,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 마포구도화동,공덕,"[도화동] 4등급 89세 여자어르신 요양보호 업무

- 일상생활지원, 청소 및 가사도움
- 주5일 09시-12시, 시급 12,500원
* 도화동 현대아파트",J01300,무관,시급 / 12700원 ,퇴직금, 09:00~12:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,박소연,02-3153-9953,마포구,서울특별시 마포구 도화2길 28  (도화동) 도화동,[도화동] 4등급 어르신 요양보호사 모집,2024-01-29,(시급)12700원 / 서울 마포구 / 경력 무관,,
J316202401290009,DdA3162401292031,둥지재가복지센터,방문요양,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 강서구가양7단지,,"-요양보호대상자: 3등급 할머니(80세.... 거동가능)
-직무내용:일상가사지원, 신체활동지원, 병원동행(휠체어이동)
-근로시간: 08:00~11:00 (주 5일)
-시급: 12,500원",J01300,무관,시급 / 12500원 ,퇴직연금,08:00~11:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문 기타  ,,이춘순,02-2600-6250,강서구,서울특별시 강서구 공항대로41길 51  (등촌동) (등촌동),"(가양동) 3등급 어르신, 8~11시, 주 5일, 도움 주실 요양보호사 구인",2024-01-29,(시급)12500원 / 서울 강서구 / 경력 무관,,
J311202401290004,DdA3112401292035,우리들재가복지센터,수급자어르신 방문요양,550104,재가 요양보호사,1,J00100,관계없음,J01101,상용직,서울 노원구월계 주공1단지 아파트 105,,"5등급 남자어르신 (의사소통 양호)
치매전문 교육 이수자
010-7657-5451 직접 전화 지원",J01301,신입,시급 / 12400원 ,퇴직금,13:00~16:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,이현주,070-7700-8375,노원구,경기도 광명시 오리로 938  (광명동) 경기도 광명시 오리로938번길 14-1,5등급 남자어르신 오후 재가요양보호사 구인[노원 월계],2024-01-29,(시급)12400원 / 서울 노원구 / 경력 무관,,
J316202401290008,DdA3162401292029,둥지재가복지센터,방문요양,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 강서구동부센트레빌,,"-요양보호대상자: 3등급 할아버지(85세, 거동 가능)
-직무내용:일상가사지원, 신체활동지원, 병원동행(휠체어이용), 산책동행
-근로시간: 09:00~12:00 (주 5일)
-시급: 12,500원",J01300,무관,시급 / 12500원 ,퇴직연금,09:00~12:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문 기타  ,,이춘순,02-2600-6250,강서구,서울특별시 강서구 공항대로41길 51  (등촌동) (등촌동),"(방화동) 3등급 어르신, 9~12시, 주 5일, 도움 주실 요양보호사 구인",2024-01-29,(시급)12500원 / 서울 강서구 / 경력 무관,,
J315202401290010,DdA3152401292091,성해노인복지센터,재가 장기요양기관으로 어르신 집으로 찾아가는 일상지원 서비스를 지원하는 방문요양,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 양천구힐탑 이루미 아파트,,"-요양보호대상자: 5등급 할아버지(치매교육이수 필) 
-직무내용: 어르신 일상생활 지원. 인지활동
-근무 시간: 9시~12시, 주5일
-시급: 12,400원
-24. 2. 5 출근예정",J01300,무관,시급 / 12400원 ,퇴직연금,09:00~12:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,서류  면접   ,기타   ,,박정현,02-2620-4632,양천구,경기도 부천시 원미구 장말로 237  (중동) 2층,[신정동] 09:00~12:00/5등급 할아버지/요양보호사 모집,2024-01-29,(시급)12400원 / 서울 양천구 / 경력 무관,,
J305202401290010,DdA3052401292099,효나눔방문요양센터,방문요양,550104,재가 요양보호사,1,J00100,관계없음,J01103,계약직(시간제),서울 영등포구신풍역1번 출구 인근 거주,,"* 3등급 여자어르신(41년생) 케어/거동가능/아들,손주와 거주(낮에 혼자 계심)
* 아침식사 준비/병원동행_지팡이 사용/말벗/주1회 샤워도움/청소, 세탁 등 주변정리 및 일상생활지원 업무
* 토요일 근무 협의가능",J01300,무관,시급 / 12400원 - 면접 후 협의가능 ,퇴직금,09:00~12:00,주간,주6일근무,18,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,서류  면접   ,방문 기타  ,,이선미,02-450-1419,광진구,서울특별시 광진구 천호대로119길 57  (중곡동) 1층,[신길동/3등급/여자/오전] 재가 요양보호사 모집,2024-01-29,(시급)12400원 / 서울 영등포구 / 경력 무관,,
J303202401290009,DdA3032401292030,한마음재가노인지원센타,재가요양센터,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 용산구리버힐삼성아파트 _ 상세주소 채용 담당자 확인,,"[ 산천동 리버힐삼성아파트 ] 4등급 할머니 오후 케어
 
- 직무내용:  가사도움, 주변정리 등 일상생활지원

- 장기요양급여 적용 근로시간: 1일 3시간 

- 근무시간: 13:00~16:00

- 주5일 근무

- 시급 12,400원

- 경력자 우대",J01300,무관,시급 / 12400원 ,퇴직연금,13:00~16:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문 기타  ,,함희영,02-2199-4537,용산구,서울특별시 용산구 원효로97길 30  (청파동3가) 1층,[용산/산천동] 4등급 어르신 오후케어 요양보호사 모집,2024-01-29,(시급)12400원 / 서울 용산구 / 경력 무관,,
J315202401290009,DdA3152401292089,가온사회서비스원재가복지센터,"방문요양, 방문목욕, 방문복지서비스",550104,재가 요양보호사,1,J00100,관계없음,J01101,상용직,서울 양천구신월4동,,"-대상자 : 2등급 할머니 
-직무내용: 일상가사지원, 신체활동지원,
-근무시간 : 13:00~17:00 주6일
-임금 : 12,500원, 중증가산수당 3,000원",J01301,신입,시급 / 12500원 ,퇴직금,13:00~17:00,주간,주6일근무,24,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,양경옥,02-2620-4634,양천구,서울특별시 양천구 목동중앙본로 113  (목동) 효명2동,[신월4동 2등급 할머니 오후] 요양보호사 구인,2024-01-29,(시급)12500원 / 서울 양천구 / 경력 무관,,
J311202401290002,DdA3112401292031,사랑나무재가복지센터,노인요양보호업,550104,재가 요양보호사,1,J00100,관계없음,J01101,상용직,서울 노원구한신 청구 아파트,,"신체지원, 가사지원
1등급 할머님 [입주 케어]",J01301,신입,월급 / 320만원 ,퇴직금,09:00~09:00,주간,기타(입주 케어),52,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,이현주,070-7700-8375,노원구,"서울특별시 성북구 도봉로3길 12  (길음동) 길음동,1층",1등급 여자어르신 입주 요양보호사 구인[노원 하계],2024-01-29,(월급)320만원 / 서울 노원구 / 경력 무관,,
J309202401290014,DdA3092401292075,번동참조은재가노인복지센터,방문요양,550104,재가 요양보호사,1,J00100,관계없음,J01101,상용직,서울 도봉구신화초등학교 부근,,"* 창동- 신화초등학교 부근/4등급 여자
* 10;00~13:00(약간의 조정 가능)/주 5일/시급 12,700원
* 일상생활 지원",J01300,무관,시급 / 12700원 ,퇴직금,10:00~13:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,박현정,02-901-7249,강북구,서울특별시 강북구 한천로105길 7  (번동) 번동1단지종합상가 206호,재가요양보호사 구함(창동-신화초 부근/4등급 여자/오전),2024-01-29,(시급)12700원 / 서울 도봉구 / 경력 무관,,
J323202401290010,DdA3232401292200,(주)시니어케어24,노인장기요양보험관련사업,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 강남구,,"- 삼성동 롯데아파트 
- 5등급 87세, 남자 어르신
- 주5일 13-16
- 시급 12500
- 식사준비, 가사지원, 정서지원, 걷기동행",J01300,무관,시급 / 12500원 ,퇴직금,13-16,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,김정현,02-3423-5586,강남구,"서울특별시 강남구 선릉로 630  (삼성동) 4층 (삼성동, 동화빌딩)",삼성동 롯데아파트/ 5등급 87세 남자어르신/ 재가요양보호사 모집,2024-01-29,(시급)12500원 / 서울 강남구 / 경력 무관,37.512798,127.043147
J315202401290008,DdA3152401292084,서울재가어르신방문요양센터,"방문요양, 방문목욕, 복지용구",550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 양천구신월동,,"-신월동 거주 4등급 할머님 케어
-09:00~12:00, 주6일
-시급 12500원",J01301,신입,시급 / 12500원 ,퇴직금,09:00~12:00,주간,주6일근무,18,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,서류    ,기타   ,,이남수,02-2620-4642,양천구,서울특별시 강서구 공항대로 382  (화곡동) 상가동201호,[신월동] 4등급 할머님 / 09:00~12:00 / 요양보호사 모집,2024-01-29,(시급)12500원 / 서울 양천구 / 경력 무관,,
J321202401290009,DdA3212401292021,[어르신]모시는사람들,장기요양 재가기관,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 관악구,,"[미림여고 건너편] 3등급 할머니 케어
- 방문요양서비스(일상생활지원 등) 
- 오후 3시간(12:00~15:00), 주5일 15시간",J01300,무관,시급 / 13000원 ,퇴직금,12~15,주간,주5일근무,15,고용보험 산재보험 건강보험 국민연금,구인 시 까지 (2개월 이내)(2024-03-28),,서류  면접   ,방문   ,,조현숙,02-879-5773,관악구,서울특별시 관악구 난곡로 246  (신림동) 2층,재가요양보호사 - [미림여고 건너편] 3등급 할머니 케어,2024-01-29,(시급)13000원 / 서울 관악구 / 경력 무관,,
J318202401290003,DdA3182401292035,서울재가복지센터,방문 재가,550104,재가 요양보호사,1,J00100,관계없음,J01101,상용직,서울 금천구독산3동주민센터인근,,"○ 4등급 남

○ 내국인 지원",J01300,무관,시급 / 12250원 - 면접 후 협의가능 ,퇴직금,13:00~17:00,주간,주6일근무,24,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,한선미,02-2627-1919,금천구,서울특별시 금천구 시흥대로136길 27  (독산동) 1층 서울재가복지센터,"재가 요양보호사 - 독산동, 4등급 남, 13:00~17:00, 주6일",2024-01-29,(시급)12250원 / 서울 금천구 / 경력 무관,,
J309202401290012,DdA3092401292048,행복한재가복지센터,재가노인복지시설,550104,재가 요양보호사,1,J00100,관계없음,J01101,상용직,서울 강북구면접시 상세주소 안내,,"(장미원시장 맞은편) 4등급 여자어르신

[직무내용] 신체활동지원, 가사지원, 정서지원 등
[근무조건] 14:00~17:00/ 월~금(주5일근무)
[급여] 시급 12,500원",J01301,신입,시급 / 12500원 ,퇴직금,14:00~17:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,   ,방문   ,,김현주,02-901-7248,강북구,서울특별시 강북구 노해로17길 60  (수유동) 행복한재가복지센터,[수유동] 4등급 어르신 재가요양보호사 구인,2024-01-29,(시급)12500원 / 서울 강북구 / 경력 무관,,
J310202401290004,DdA3102401292033,섬김재가복지센터,방문요양,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 도봉구도솔학교 인근,,"다락원 인강원(도솔학교) 인근 4등급 어르신 방문케어
독거/거동가능
8~11시/주5일/12500원",J01300,무관,시급 / 12500원 ,퇴직금,08월 11일,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,김주희,02-2091-2922,도봉구,서울특별시 도봉구 시루봉로17길 28  (방학동) 1층,재가 요양보호사 채용(도봉동),2024-01-29,(시급)12500원 / 서울 도봉구 / 경력 무관,,
J307202401290008,DdA3072401292053,미소방문요양재가센터,방문목욕/방문요양,550100,요양 보호사 및 간병인,1,J00100,관계없음,J01101,상용직,서울 중랑구,,"* 3등급 여자어르신(부부거주)
* 가사지원, 식사지원, 병원동행 등 일상생활지원
* 14:00-17:00/주6일
* 시급 12,500원
* 신내동 동성아파트",J01301,신입,시급 / 12500원 ,퇴직금,14:00~17:00,주간,주6일근무,18,고용보험 산재보험 건강보험 국민연금,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,류춘수,02-2094-2242,중랑구,"서울특별시 중랑구 신내로17길 83  (신내동) 신내6단지 상가동 지하층 05호 (신내동, 신내아파트)",[신내동 3등급 여자 주6일 오후] 재가요양보호사 구인,2024-01-29,(시급)12500원 / 서울 중랑구 / 경력 무관,,
J310202401290010,DdA3102401292082,(A)무지개재가복지센터,방문요양,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 강북구인수봉주민센터 지원,,"인수동주민센터 근처 4등급여자 어르신 케어
-독거
-약한치매
-14:30~17:30 [주6일] 12500원
-업무: 약 챙겨드리고 저녁상차려드리고 치워드리기 (샤워x, 반찬조리x)",J01300,무관,시급 / 12500원 ,퇴직금,14:30-17:30,주간,주6일근무,18,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,서류  면접   ,방문   ,,김주희,02-2091-2922,도봉구,"서울특별시 도봉구 도봉로150가길 27  (방학동) 1층 102호 (방학동, 퍼스티안오피스텔)",재가 요양보호사 모집합니다!!(인수동주민센터 4등급여자),2024-01-29,(시급)12500원 / 서울 강북구 / 경력 무관,,
J312202401290004,DdA3122401292020,삼우안전관리(주),"아파트 청소, 소독, 경비용역업체임",561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,J00100,관계없음,J01101,상용직,서울 마포구,,"아파트 내 청소

격주 토요 근무 

급여 135만원

워크넷 연동위해 주 5일 체크",J01300,무관,월급 / 135만원 ,퇴직금,09:00~14:30,주간,주5일근무,22,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문   ,,한수임,02-351-6858,은평구,서울특별시 금천구 가산디지털2로 98  (가산동) 550-1 롯데 아이티캐슬 2-207,아파트 미화원 채용,2024-01-29,(월급)135만원 / 서울 마포구 / 경력 무관,,
J315202401290003,DdA3152401292055,주식회사 승환로지스텍,"도로화물 운송업,자동차용품,보관창고업",27200,경리 사무원,1,J00100,관계없음,J01105,상용직(시간제),서울 양천구서부터미널,,"- 신정동 서부트럭터미널 단순 경리업무_입,출금, 서류정리, 간단한 컴퓨터 등
- 09:00~12:00(시간협의, 오후 3시간도 가능), 주5일, 신정3동
- 시급 : 10,000원 이상(협의함)",J01300,무관,시급 / 10000원 ,퇴직금,09:00~12:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,면접    ,방문 기타  ,,정은아,02-2620-4641,양천구,"서울특별시 양천구 신정로 167  (신정동) 신정동,서부트럭터미널.",[신정동] 경리 사무원(일 3시간) 구인,2024-01-29,(시급)10000원 / 서울 양천구 / 경력 무관,,
J315202401290004,DdA3152401292057,온마음담은 노인복지센터,재가방문요양,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 양천구,,"-목동힐스테이트 거주 4등급 할아버님 케어
-식사, 청소 등 일상 생활지원
-12:30~15:30, 주5일
-시급 12600원",J01301,신입,시급 / 12600원 ,퇴직금,12:30~15:30,주간,주5일근무,15,고용보험 산재보험 건강보험 국민연금,구인 시 까지 (2개월 이내)(2024-03-28),,서류  면접   ,기타   ,,이남수,02-2620-4642,양천구,서울특별시 양천구 곰달래로1길 8  (신월동) (온마음담은노인복지센터),신정동] 4등급 할아버님 / 12:30~15:30 / 요양보호사 모집,2024-01-29,(시급)12600원 / 서울 양천구 / 경력 무관,,
J316202401290003,DdA3162401292015,강서해드림재가복지센터,재가노인복지,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 강서구수명산파크7단지,,"-요양보호대상자: 5등급 할머니(42년생... )
-직무내용:일상가사지원, 신체활동지원, 인지활동지원
-근로시간: 12:00~15:00 (주 5일)
-시급: 13,000원

*치매교육이수자",J01300,무관,시급 / 13000원 ,퇴직금,12:00~15:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,구인 시 까지 (2개월 이내)(2024-03-28),,서류  면접   ,방문 기타  ,,이춘순,02-2600-6250,강서구,서울특별시 강서구 개화동로25길 68  (방화동) .,"(수명산파크7단지) 5등급 어르신, 12~15시, 주 5일, 도움 주실 요양보호사 구인",2024-01-29,(시급)13000원 / 서울 강서구 / 경력 무관,,
